veseliti se,to be happy
Pobjeći,to escape
Naporan,strenuous
Lagan,leisurely
Dignuti/dizati,to lift up/raise
Kuniti,to swear
Šteta,damage/harm
Ovuda,this way
Usta,mouth
Dom,home
Mozak,brain
Društvo,society/company
Glas,voice/vote
Čast,honor
Kći,daughter
Kola,car
Vrsta,kind/type/species
Dopustiti/depuštati,to allow/permit/let
Konačno,finally
Slika,image
Išta,anything
Bježati-bježi!,to run away-run away!
Iskreno,sincerely
Proći/prolaziti,to pass
Bit-bitno,essence-important/in essence
Brod,ship
Kladiti se,to bet
Budućnost,future
Zatim/onda,then
Trenutno,currently
Smeta,disturbing
Čestitati,to congratulate
Okolo,around
Uništiti,to destroy
Nedostajati,to miss
Dupe,ass
Zakon,law
Izvan,beyond
Stići/stignuti/stignem/stizati,to arrive
Spasiti-spašavati,to save
Obećavati,to promise
Putem,through
Prokleti,to damn
Greška,error/mistake
Napokon,finally
Sav,all
Ustvari,in fact
Iako,already
Boriti se,to fight
Pobijediti/pobjeđivati,to win
Dokaz,evidence
Javiti,to report
Otkad,since
Pogrešno,wrong
grešno,sinful
Ravno,straight
Gospodar,master
Uspjeti/uspijem/uspiju,to succeed
Prošlost,the past
Vrag,devil
Složiti/slagati/slažem/slažu,to pile/arrange/(reflexive) to agree/come to terms with
Ukrasti/krasti/ukradem,to steal
Slobodno,freely
Odjednom,suddenly/unexpectedly/at once
Pokret,movement
Tajna,secret
Stanje,condition/state
Zadržati/zadržim/zadrže,to keep/retain
Čisto,clean
Pun,full
Osiguranje,insurance
Bolnica,hospital
Opasno,dangerously
Zadovoljstvo,satisfaction
Pada,well then...
Čudo,miracle
Nekad,once/in former times/sometimes
Kuga,plague
Primjer,example
Slučajno,accidentally/by chance/randomly
Potreban,required
Očito/očigledno/jasno,obviously
Veći,bigger
Isto,same/also
Zahtjev,requirement
Obraditi/obrađivati,to process/labor/farm
Prema,according to/towards/opposite
Mišljenje,opinion
Redoslijed/slijed,sequence/track
Unutarnje,internal
Postupak,procedure
Prilika,chance/opportunity for advancement
Miran,quiet
Glasno,loud
Brzina/Šped,speed
Šala,joke
Paziti,to be careful/watch out
Nizak,low
Visok,high/tall
Ljubiti,to kiss
Domoljubna,patriotic
Dim,smoke
Još uvijek,still
Sise,tits
Nastaviti,to continue
Kakav,what kind of
Pametan,smart
Korak,step
Odgovarati,to answer/to fit
Užasno,terribly
Opasnost,danger
Sustav,system
Trag,trace
Strana,side
Vojska,army
Davno,a long time ago
Prijevod,translation
Doba(neutral singular doba. pl. doba/dobime),age/era/time
Sjajan/izvrstan,brilliant/great
Začepi,shut up!
Sumnjati,to doubt
Podaci, datum/facts/data
Poduzeti/poduzmem/poduzmu,to undertake/to take upon oneself/to tack/to take action
Upomoć,help!
Budala,fool
Pucati,to crackburst/or shoot/fire
Nevolja,trouble/misfortune
Tiho,quietly
Krenuti/kretati,to move/set in motion/begin
Okrenuti,to turn around
Izvesti,to bring out
Svuda,everywhere
Gluposti,nonsense
Probati,to try
Priznati,to admit
Igla/iglica,needle
Kašalj,cough
Pridružiti se,to join
Uglavnom,mainly/mostly
Poručniče,lieutenant
Pozvati,to call
Komad,piece
Izvještaj/izvjestiti/izvještavati,report/account/record
Prestati/prestanem/prestanu,to stop
Ples,dance
Kriti,to hide/conceal
Otkriti/otkriti toplu vodu,to discover/reinvent the wheel
Pristupiti,to join
Metak,bullet
Umirati,to die slowly
Mlada,bride
Mladoženja,groom
U blizini,near/close to/in the vicinity of
Potreba,a need
Tišina,stillness
Lov,hunt/hunting/chase/pursuit/catch/haul
Zadnji,last/finalrear
Klinac,nail/peg
Žrtva,sacrifice/offering/victim
Smjesta,immediately
Obaviti,to perform/complete/carry out
Pripadati,to belong to/to be deserved byto go to
Grozan,terrible
Let,flight
Pažnja,attention/care/watchfulness
Skroz/potpuno/posve/sasvim,completely
Savjet,advice/counsel
Ocu,father
Majka,mother
Kompa,buddy/friend
Napustiti,to leave/abandon/desert
Most,bridge
Životinja,animal
Usred/u sredini,in the middle
Trudna,pregnant
Trud,effort/work/toil
Šutjet-šuti!,to be quiet-shut up
Kamion,truck (vehicle designed for carrying a group)
Izlaz,exit
Najmanje,at least
Važiti/važi!,to be valid/matter/apply/ok!
Ljut,angry/spicy
Ozbiljan,serious
Nažalost/žalost,unfortunately
Brak,marriage
Sud,court/courthouse
Unutar,within
Kotrljati/valjati,to roll
Vatra,fire
Lijek,drug
Zapovijed/zapovijediti/zapovijedati,command/order/commandment
Prihvatiti,to accept/receive
Odluka,decision
Pita,a pie or pastry that consists of outer crust and a filling
Pozdrav,greeting/salutation
Sunce,sun
Mjesec,moon
Nebo,sky
Oblak,cloud
Kiša,rain
Rasvjeta,lightning
Grmljavina,thunder
Odjeća,clothes
Košulja,shirt
Hlače,pants
Šešir,hat
Torba,bag
Cipela,shoes
Poštovani-a,respected one
Poštovanjem,regards
Znati,to know
Zahvaljujemo,we thank
Mlijeko,milk
Riba,fish
